date,trending,Sector,Count
2022-05-22,#NosUnimosONosJodemos,Derecha,2597
2022-05-22,#FedericoEsColombia,Derecha,7814
2022-05-22,#LoPeorDeEstasElecciones,Neutro,1314
2022-05-22,#MiVotoEsPetroYFrancia,Izquierda,3037
2022-05-23,#MiVotoEsPetroYFrancia,Izquierda,5188
2022-05-23,#UnTramposoEs,Neutro,2446
2022-05-23,#FedericoEsColombia,Derecha,3210
2022-05-23,#MeInquieta,Neutro,1201
2022-05-24,#ElDebateDefinitivo,Neutro,11865
2022-05-24,#AColombiaLePreocupa,Neutro,1720
2022-05-24,#LeApuestoA,Neutro,872
2022-05-24,#UnTramposoEs,Neutro,509
2022-05-24,#GrandezaEs,Neutro,762
2022-05-25,#VotoPor,Neutro,3597
2022-05-25,#YaEsSuficiente,Izquierda,1600
2022-05-25,#ElDebateDefinitivo,Neutro,569
2022-05-25,#vanessapregúnteleafico,Izquierda,554
2022-05-25,#AColombiaLePreocupa,Neutro,291
2022-05-25,#ConvenceUnoMásPorPetro,Izquierda,814
2022-05-26,#FicoElGanador,Derecha,6347
2022-05-26,#ElMejorCandidatoEs,Neutro,4131
2022-05-26,#ElDebateDecisivo,Neutro,2650
2022-05-26,#PetroEsElCambio,Izquierda,1923
2022-05-26,#MagdalenaVotaPetro,Izquierda,514
2022-05-27,#PetroEs,Neutro,2435
2022-05-27,#EsElMomentoDe,Neutro,3346
2022-05-27,#FicoElGanador,Derecha,3341
2022-05-27,#ElDomingoVoyA,Neutro,965
2022-05-27,#ElMejorCandidatoEs,Neutro,549
2022-05-28,#LaVidaEnUnVoto,Neutro,1113
2022-05-28,#VoyConFico,Derecha,356
2022-05-28,#YoVotoPetroPresidente,Izquierda,8005
2022-05-28,#DebateFinal,Neutro,8594
2022-05-28,#VoyConFederico,Derecha,8494
2022-05-28,#FicoElGanador,Derecha,4194
2022-05-29,#EleccionesColombia,Neutro,18820
2022-05-29,#CualquieraMenosPetro,Derecha,2594
2022-05-29,#Elecciones2022,Neutro,7704
2022-05-29,#PetroPresidenteEnPrimera,Izquierda,15167
2022-05-29,#PetroPresidente2022,Izquierda,5198
2022-05-29,#ElCambioEnPrimera,Izquierda,10856
2022-05-29,#SegundaVuelta,Neutro,377
2022-05-29,#MiVotoEsSecretosky,Izquierda,5091
2022-05-29,#VotoPorFicoYLara,Derecha,4515
2022-05-29,#PetroNuncaSeráPresidente,Derecha,1636
2022-05-29,#HoyMeIdentiFICO,Derecha,626
